# nucl dec Total(s)  Bp(1+)(s)  Bp(1-)(s)  Bp(0-)(s)  Bp(2-)(s)  EC(1+)(s)  EC(1-)(s)  EC(0-)(s)  EC(2-)(s)
 Db264 HL+ 6.148531e+02 1.344605e+07 5.796164e+11 9.136303e+09 3.560711e+13 2.673197e+03 8.111365e+02 5.328814e+04 1.556858e+06
 Db265 HL+ 2.834381e+02 6.584200e+06 2.795293e+07 1.719229e+12 1.978431e+10 5.634915e+03 2.991368e+02 1.419348e+05 2.185897e+06
 Db266 HL+ 3.939688e+03 4.138094e+09 1.000000e+10 1.000000e+10 1.000000e+10 1.051411e+06 3.956119e+03 2.050497e+12 9.748233e+06
 Ds262 HL+ 4.784938e-01 7.144131e+01 1.714693e+01 1.336815e+02 3.739323e+03 5.775311e+00 5.488297e-01 1.816443e+02 1.097539e+02
 Ds263 HL+ 4.458355e-01 1.516253e+01 2.212354e+01 1.672462e+02 4.354708e+03 1.771819e+00 6.458728e-01 1.993246e+02 1.263164e+02
 Ds264 HL+ 6.594982e-01 1.023862e+03 3.370869e+01 1.897402e+02 7.372153e+03 2.836529e+01 6.973279e-01 2.076170e+02 1.628819e+02
 Ds265 HL+ 7.227310e-01 2.425001e+03 4.421993e+01 2.320482e+02 1.149548e+04 4.146041e+01 7.556124e-01 2.505008e+02 2.138379e+02
 Ds266 HL+ 9.168491e-01 4.446131e+03 7.311611e+01 4.062337e+02 2.334862e+04 5.392280e+01 9.530617e-01 3.004724e+02 3.161911e+02
 Ds267 HL+ 1.048755e+00 6.042066e+03 8.983295e+01 5.621575e+02 2.536094e+04 6.119738e+01 1.088742e+00 3.603586e+02 3.584558e+02
 Ds268 HL+ 1.399112e+00 1.038722e+04 1.617340e+02 1.070782e+03 6.875139e+04 8.194063e+01 1.446106e+00 4.638855e+02 6.099064e+02
 Ds269 HL+ 1.753200e+00 1.523022e+04 2.295559e+02 7.864318e+02 9.339253e+04 8.532183e+01 1.819267e+00 5.224405e+02 7.271753e+02
 Ds270 HL+ 2.494828e+00 2.694393e+04 4.225605e+02 3.910208e+03 2.451979e+05 1.206521e+02 2.578547e+00 7.600862e+02 1.339539e+03
 Ds271 HL+ 3.083774e+00 2.723451e+04 5.594775e+02 1.247276e+04 9.554565e+04 1.149722e+02 3.207892e+00 1.088474e+03 9.846161e+02
 Ds272 HL+ 6.587834e+00 9.445952e+04 2.077397e+03 2.218170e+04 3.823670e+06 2.034086e+02 6.880934e+00 1.265371e+03 4.503313e+03
 Ds273 HL+ 1.001453e+01 1.395899e+05 2.222071e+03 4.418869e+04 7.415153e+06 4.848486e+02 1.036239e+01 1.497031e+03 7.058846e+03
 Ds274 HL+ 2.012563e+01 9.251420e+06 3.594099e+04 9.318887e+04 7.083258e+07 1.978663e+03 2.059885e+01 1.823240e+03 2.043329e+04
 Ds275 HL+ 3.715000e+01 4.479450e+08 1.187863e+05 1.893250e+05 1.979258e+08 4.386977e+03 3.818778e+01 2.164367e+03 3.593512e+04
 Ds276 HL+ 9.395828e+01 1.000000e+10 1.142327e+08 4.020069e+06 1.506232e+11 9.652846e+03 9.731027e+01 3.910733e+03 1.417760e+05
 Fl272 HL+ 2.876718e-01 2.241766e+02 1.001494e+01 5.599710e+01 1.511034e+03 8.064294e+00 3.125538e-01 1.329187e+02 4.469040e+01
 Fl273 HL+ 3.249617e-01 2.425309e+02 1.236736e+01 6.400414e+01 1.234041e+03 8.062277e+00 3.542554e-01 1.457760e+02 4.513946e+01
 Fl274 HL+ 3.935409e-01 3.209574e+02 1.647182e+01 8.078643e+01 3.504745e+03 9.343058e+00 4.276351e-01 1.680865e+02 7.622231e+01
 Fl275 HL+ 4.572372e-01 3.524875e+02 1.882140e+01 8.611915e+01 2.709791e+03 8.970338e+00 5.028394e-01 1.858589e+02 7.388590e+01
 Fl276 HL+ 5.445592e-01 5.424543e+02 2.431387e+01 1.331960e+02 1.351825e+04 1.169979e+01 5.920482e-01 2.292760e+02 1.447395e+02
 Fl277 HL+ 7.441688e-01 6.343991e+02 3.064761e+01 1.555295e+02 2.115963e+04 1.219792e+01 8.250920e-01 2.485742e+02 1.957460e+02
 Fl278 HL+ 8.828709e-01 1.241521e+03 4.831235e+01 1.847823e+02 3.128877e+04 2.184941e+01 9.500923e-01 2.735185e+02 2.654390e+02
 Fl279 HL+ 1.011494e+00 5.700585e+03 5.476496e+01 2.014802e+02 3.012674e+04 5.468252e+01 1.063731e+00 2.880952e+02 2.977289e+02
 Fl280 HL+ 1.712714e+00 1.664556e+04 1.038278e+02 2.600870e+02 8.703560e+04 7.898661e+01 1.808620e+00 3.408254e+02 5.498090e+02
 Fl281 HL+ 2.609264e+00 1.009712e+05 1.213922e+02 2.772824e+02 1.244429e+05 1.159780e+02 2.786676e+00 3.888687e+02 7.444258e+02
 Fl282 HL+ 3.873969e+00 3.305645e+05 5.814294e+02 5.530068e+02 4.627406e+05 1.850463e+02 4.049192e+00 6.226632e+02 1.595120e+03
 Fl283 HL+ 5.378095e+00 9.360794e+05 1.239337e+03 7.460769e+02 5.460759e+05 2.394906e+02 5.616116e+00 9.464071e+02 2.007401e+03
 Fl284 HL+ 9.609799e+00 3.521689e+06 5.150963e+03 3.096148e+03 1.095063e+07 3.979111e+02 9.965001e+00 1.760371e+03 9.045706e+03
 Fl285 HL+ 1.454502e+01 8.345694e+06 4.994145e+03 4.876351e+03 1.069306e+07 4.786683e+02 1.519952e+01 2.666249e+03 1.101311e+04
 Fl286 HL+ 2.776098e+01 1.300055e+08 6.510393e+04 3.799396e+04 4.073614e+08 9.613943e+02 2.876557e+01 6.301015e+03 5.732560e+04
 Fl287 HL+ 1.943187e+01 2.087229e+10 1.095765e+04 1.676445e+04 6.231620e+07 1.635630e+03 1.979342e+01 7.205162e+03 2.569499e+04
 Fl288 HL+ 1.347691e+03 8.236747e+10 1.745458e+12 1.000000e+10 7.449776e+13 3.072223e+03 2.412728e+03 5.325440e+05 6.018600e+06
 Fl289 HL+ 4.578641e+02 1.000000e+10 4.338345e+08 3.375454e+12 1.139922e+12 5.586676e+03 5.044806e+02 4.802117e+04 5.015965e+05
 Fl290 HL+ 8.609651e+02 8.664112e+10 1.000000e+10 6.739828e+07 1.000000e+10 2.143639e+04 9.763021e+02 1.142153e+04 3.338368e+05
 Hs258 HL+ 7.021062e-01 9.800215e+01 3.083759e+01 2.586966e+02 5.543710e+03 7.405264e+00 8.109469e-01 2.649576e+02 1.764152e+02
