# nucl dec Total(s)  Bm(1+)(s)  Bm(1-)(s)  Bm(0-)(s)  Bm(2-)(s)
 Db292 HL- 6.008281e+00 2.316597e+01 2.090050e+01 1.426071e+01 1.886181e+02 
 Db293 HL- 4.518592e+00 1.103319e+01 2.868929e+01 1.091812e+01 2.366734e+02 
 Db294 HL- 3.434209e+00 8.207276e+00 1.782115e+01 9.239465e+00 1.999897e+02 
 Db295 HL- 1.649619e+00 8.883018e+00 3.590633e+00 4.830639e+00 1.232772e+02 
 Db296 HL- 1.235989e+00 8.848463e+00 2.720095e+00 3.190551e+00 6.668805e+01 
 Db297 HL- 9.337100e-01 3.902726e+00 1.922792e+00 3.760752e+00 3.474149e+01 
 Db298 HL- 7.614954e-01 3.629341e+00 1.987591e+00 1.968475e+00 3.767253e+01 
 Db299 HL- 7.193585e-01 5.368514e+00 1.570904e+00 1.845420e+00 3.937382e+01 
 Db300 HL- 5.573856e-01 4.153974e+00 1.134869e+00 1.563607e+00 3.062716e+01 
 Db301 HL- 5.008546e-01 3.832332e+00 1.013446e+00 1.408692e+00 2.561580e+01 
 Db302 HL- 6.746907e-01 6.035840e+00 1.390741e+00 1.772680e+00 3.000749e+01 
 Db303 HL- 4.137840e-01 3.042086e+00 9.049018e-01 1.067944e+00 2.149298e+01 
 Db304 HL- 3.734618e-01 3.131095e+00 7.265323e-01 1.079693e+00 1.795906e+01 
 Db305 HL- 2.877728e-01 2.332461e+00 5.475242e-01 8.684290e-01 1.463616e+01 
 Db306 HL- 2.766091e-01 2.250052e+00 5.113781e-01 8.836083e-01 1.196859e+01 
 Db307 HL- 2.323797e-01 1.883685e+00 4.381608e-01 7.157704e-01 1.074520e+01 
 Db308 HL- 2.008489e-01 1.551226e+00 3.811384e-01 6.272655e-01 8.600193e+00 
 Db309 HL- 1.912922e-01 1.556386e+00 3.639508e-01 5.850879e-01 7.792863e+00 
 Db310 HL- 1.791199e-01 1.583336e+00 3.471136e-01 5.238543e-01 6.194061e+00 
 Db311 HL- 1.591554e-01 1.103157e+00 3.095659e-01 5.114926e-01 5.227830e+00 
 Db312 HL- 1.406203e-01 1.020703e+00 2.726038e-01 4.451438e-01 4.611690e+00 
 Db313 HL- 1.213000e-01 8.912847e-01 2.367922e-01 3.802412e-01 3.717104e+00 
 Db314 HL- 8.244757e-02 6.916091e-01 1.585615e-01 2.492433e-01 2.745974e+00 
 Db315 HL- 7.452208e-02 6.080634e-01 1.433107e-01 2.298731e-01 2.241142e+00 
 Db316 HL- 5.619944e-02 4.441954e-01 1.069358e-01 1.771676e-01 1.829044e+00 
 Db317 HL- 5.395153e-02 4.442657e-01 1.026172e-01 1.685231e-01 1.651841e+00 
 Db318 HL- 4.556926e-02 3.632803e-01 8.428516e-02 1.515278e-01 1.373644e+00 
 Db319 HL- 4.827778e-02 3.464643e-01 9.143496e-02 1.604594e-01 1.519012e+00 
 Db320 HL- 4.278085e-02 2.947728e-01 8.099350e-02 1.446137e-01 1.387236e+00 
 Db321 HL- 3.536291e-02 2.743568e-01 6.385283e-02 1.225568e-01 1.230259e+00 
 Db322 HL- 3.146553e-02 2.343175e-01 5.692614e-02 1.108857e-01 1.077384e+00 
 Db323 HL- 2.921905e-02 2.113068e-01 5.285034e-02 1.045698e-01 9.926051e-01 
 Db324 HL- 2.660111e-02 2.000589e-01 4.796162e-02 9.429782e-02 8.778181e-01 
 Db325 HL- 2.417785e-02 1.665163e-01 4.402436e-02 8.792875e-02 7.891310e-01 
 Db326 HL- 1.886772e-02 1.425400e-01 3.388930e-02 6.830443e-02 5.444162e-01 
 Db327 HL- 1.821513e-02 1.286222e-01 3.297166e-02 6.768920e-02 4.945024e-01 
 Db328 HL- 1.549648e-02 1.084261e-01 2.784193e-02 6.049606e-02 3.495480e-01 
 Db329 HL- 1.495014e-02 1.018621e-01 2.735109e-02 5.673599e-02 3.466547e-01 
 Db330 HL- 1.394586e-02 9.001209e-02 2.536231e-02 5.533167e-02 3.231202e-01 
 Db331 HL- 1.284129e-02 7.848092e-02 2.319855e-02 5.359572e-02 2.969541e-01 
 Db332 HL- 1.214859e-02 7.378538e-02 2.186010e-02 5.157761e-02 2.756685e-01 
 Db333 HL- 1.028153e-02 4.933891e-02 1.956820e-02 4.809165e-02 1.962002e-01 
 Db334 HL- 9.101960e-03 4.287240e-02 1.745498e-02 4.354230e-02 1.591092e-01 
 Db335 HL- 9.856605e-03 4.862364e-02 1.872019e-02 4.479826e-02 1.942450e-01 
 Db336 HL- 9.696298e-03 4.760304e-02 1.840990e-02 4.446982e-02 1.879942e-01 
 Hs292 HL- 3.660179e+02 1.425780e+03 5.290572e+02 8.571423e+03 4.181490e+04 
 Hs293 HL- 8.254480e+01 6.535402e+02 1.286714e+02 3.629242e+02 1.742964e+04 
 Hs294 HL- 1.335050e+02 5.178493e+02 2.379715e+02 7.727922e+02 1.584857e+04 
 Hs295 HL- 3.474398e+01 2.427480e+02 7.182467e+01 9.436614e+01 7.010243e+03 
 Hs296 HL- 5.445468e+01 1.998684e+02 1.059127e+02 2.674390e+02 5.564980e+03 
 Hs297 HL- 2.841662e+01 1.167733e+02 5.154378e+01 1.464540e+02 2.512472e+03 
 Hs298 HL- 2.427526e+01 9.032030e+01 4.475315e+01 1.378313e+02 1.914060e+03 
 Hs299 HL- 1.378947e+01 6.136438e+01 2.327915e+01 8.796841e+01 5.267590e+02 
 Hs300 HL- 1.163013e+01 4.673540e+01 2.367750e+01 4.735869e+01 8.084773e+02 
 Hs301 HL- 6.683607e+00 3.016945e+01 1.318852e+01 2.661333e+01 3.252034e+02 
 Hs302 HL- 5.703942e+00 2.501390e+01 1.348163e+01 1.710187e+01 3.715481e+02 
 Hs303 HL- 2.925540e+00 1.419476e+01 9.401623e+00 6.219298e+00 2.372919e+02 
 Hs304 HL- 2.871782e+00 1.387253e+01 7.984223e+00 6.863353e+00 1.929562e+02 
