# nucl dec Total(s)  Bm(1+)(s)  Bm(1-)(s)  Bm(0-)(s)  Bm(2-)(s)
 Sg288 HL- 5.567152e+02 1.175282e+03 1.510742e+03 3.809919e+03 4.763718e+04 
 Sg289 HL- 2.464690e+01 7.360653e+01 4.501303e+01 2.308567e+02 2.273617e+03 
 Sg290 HL- 1.782400e+03 5.257154e+06 2.320384e+03 3.168434e+07 7.700827e+03 
 Sg291 HL- 1.142122e+01 5.349536e+01 1.836796e+01 7.291360e+01 1.417168e+03 
 Sg292 HL- 1.439223e+01 4.568118e+01 2.878531e+01 8.246499e+01 1.379732e+03 
 Sg293 HL- 7.111938e+00 3.065420e+01 1.413538e+01 2.776415e+01 8.166158e+02 
 Sg294 HL- 8.106989e+00 2.693312e+01 1.687500e+01 3.924971e+01 6.737537e+02 
 Sg295 HL- 5.346787e+00 1.930793e+01 1.103390e+01 2.374542e+01 4.011497e+02 
 Sg296 HL- 4.155889e+00 1.565390e+01 8.475136e+00 1.809927e+01 2.859162e+02 
 Sg297 HL- 2.808099e+00 1.194516e+01 5.424359e+00 1.240038e+01 1.351237e+02 
 Sg298 HL- 2.394842e+00 1.007615e+01 4.983809e+00 9.038865e+00 1.421108e+02 
 Sg299 HL- 1.553984e+00 7.597652e+00 3.667299e+00 4.367366e+00 9.769088e+01 
 Sg300 HL- 1.422519e+00 6.551486e+00 3.089355e+00 4.678046e+00 7.761339e+01 
 Sg301 HL- 9.979334e-01 4.670263e+00 2.334738e+00 2.930551e+00 5.433652e+01 
 Sg302 HL- 8.731876e-01 4.281335e+00 2.025173e+00 2.523338e+00 4.635680e+01 
 Sg303 HL- 6.228029e-01 3.312724e+00 1.537944e+00 1.602588e+00 3.381952e+01 
 Sg304 HL- 5.654417e-01 2.784156e+00 1.435698e+00 1.470087e+00 3.067814e+01 
 Sg305 HL- 4.501473e-01 2.194659e+00 1.200702e+00 1.119683e+00 2.507034e+01 
 Sg306 HL- 3.455833e-01 1.157542e+00 7.630801e-01 1.609348e+00 1.021343e+01 
 Sg307 HL- 2.666113e-01 9.774991e-01 5.685820e-01 1.197948e+00 7.449470e+00 
 Sg308 HL- 4.209022e-01 2.602799e+00 8.042081e-01 1.456771e+00 1.619754e+01 
 Sg309 HL- 3.260359e-01 2.136330e+00 6.560547e-01 1.002973e+00 1.286083e+01 
 Sg310 HL- 3.214466e-01 2.047913e+00 6.207439e-01 1.087501e+00 1.085483e+01 
 Sg311 HL- 2.629116e-01 1.783955e+00 5.195425e-01 8.325149e-01 8.542822e+00 
 Sg312 HL- 2.415863e-01 1.611567e+00 4.711022e-01 7.934140e-01 7.367280e+00 
 Sg313 HL- 1.910352e-01 1.308525e+00 3.763586e-01 6.090286e-01 5.833630e+00 
 Sg314 HL- 1.737212e-01 1.250996e+00 3.392587e-01 5.516062e-01 5.089178e+00 
 Sg315 HL- 1.202809e-01 1.138639e+00 2.289396e-01 3.560518e-01 3.859729e+00 
 Sg316 HL- 1.187044e-01 9.455098e-01 2.291401e-01 3.672564e-01 3.576244e+00 
 Sg317 HL- 9.230723e-02 8.252498e-01 1.748161e-01 2.813156e-01 2.885084e+00 
 Sg318 HL- 8.426497e-02 6.709437e-01 1.613186e-01 2.632649e-01 2.634889e+00 
 Sg319 HL- 6.731071e-02 5.202020e-01 1.242902e-01 2.254939e-01 2.203849e+00 
 Sg320 HL- 6.327456e-02 4.546114e-01 1.194092e-01 2.110964e-01 2.029543e+00 
 Sg321 HL- 5.381658e-02 3.856723e-01 9.980402e-02 1.849613e-01 1.777501e+00 
 Sg322 HL- 4.921201e-02 3.290365e-01 9.169377e-02 1.739931e-01 1.592746e+00 
 Sg323 HL- 4.247851e-02 2.847028e-01 7.859054e-02 1.515555e-01 1.415517e+00 
 Sg324 HL- 3.926212e-02 2.523761e-01 7.287234e-02 1.429143e-01 1.269562e+00 
 Sg325 HL- 3.350538e-02 2.254507e-01 6.114701e-02 1.221945e-01 1.145873e+00 
 Sg326 HL- 3.138763e-02 2.002764e-01 5.823933e-02 1.146724e-01 1.025043e+00 
 Sg327 HL- 2.453783e-02 1.774910e-01 4.430909e-02 8.936580e-02 7.349598e-01 
 Sg328 HL- 2.307239e-02 1.489011e-01 4.249644e-02 8.768985e-02 5.914454e-01 
 Sg329 HL- 1.981481e-02 1.308624e-01 3.589306e-02 7.968503e-02 4.139536e-01 
 Sg330 HL- 1.893983e-02 1.119241e-01 3.528225e-02 7.618459e-02 4.174872e-01 
 Sg331 HL- 1.699575e-02 1.009137e-01 3.135168e-02 7.023003e-02 3.579565e-01 
 Sg332 HL- 1.608299e-02 8.610826e-02 3.040596e-02 6.847122e-02 3.255996e-01 
 Sg333 HL- 1.460371e-02 7.795900e-02 2.751802e-02 6.316013e-02 2.876963e-01 
 Sg334 HL- 1.369649e-02 6.800543e-02 2.617346e-02 6.122244e-02 2.655215e-01 
 Sg335 HL- 1.258709e-02 6.178885e-02 2.395005e-02 5.742879e-02 2.441473e-01 
 Sg336 HL- 1.168776e-02 5.482759e-02 2.249203e-02 5.452242e-02 2.212723e-01 
 Sg337 HL- 1.050260e-02 5.133068e-02 1.989423e-02 4.888140e-02 1.996221e-01 
 Sg338 HL- 9.974966e-03 4.609140e-02 1.905149e-02 4.806168e-02 1.901492e-01 
 Sg339 HL- 9.450671e-03 4.044870e-02 1.869457e-02 4.569896e-02 1.749443e-01 
