# nucl dec Total(s)  Bp(1+)(s)  Bp(1-)(s)  Bp(0-)(s)  Bp(2-)(s)  EC(1+)(s)  EC(1-)(s)  EC(0-)(s)  EC(2-)(s)
 Mt267 HL+ 2.836855e+00 1.066288e+05 4.149468e+02 1.009240e+04 6.597031e+05 3.172043e+02 2.890915e+00 1.656532e+03 3.168562e+03
 Mt268 HL+ 3.469042e+00 8.200124e+04 3.380788e+02 1.467593e+04 3.664304e+05 3.967639e+02 3.547313e+00 1.970148e+03 3.429929e+03
 Mt269 HL+ 5.522956e+00 1.000000e+10 1.160097e+03 6.515111e+04 3.470311e+06 8.596213e+02 5.600073e+00 3.061425e+03 7.950392e+03
 Mt270 HL+ 6.112750e+00 3.315671e+05 7.851694e+02 3.987999e+05 1.112891e+06 6.473883e+02 6.235549e+00 4.635399e+03 5.516851e+03
 Mt271 HL+ 1.626760e+01 3.743566e+09 3.717038e+03 9.635047e+05 2.830027e+07 3.239506e+03 1.647875e+01 5.996050e+03 2.375552e+04
 Mt272 HL+ 9.226962e+01 2.592615e+05 2.694927e+10 1.783903e+08 5.617262e+11 2.862950e+02 1.382505e+02 9.544091e+03 3.317062e+05
 Mt273 HL+ 4.102793e+01 9.114501e+11 2.509296e+04 1.527166e+07 2.334394e+08 9.031362e+03 4.139775e+01 1.860892e+04 7.488786e+04
 Mt274 HL+ 8.102536e+01 1.000000e+10 3.869704e+04 4.262482e+07 1.000000e+10 1.353599e+04 8.193746e+01 3.371501e+04 1.252809e+05
 Mt275 HL+ 2.382212e+02 1.000000e+10 3.121004e+05 1.654802e+07 2.577455e+07 4.032836e+04 2.407372e+02 8.638845e+04 2.383292e+05
 Mt276 HL+ 1.893896e+04 1.000000e+10 1.000000e+10 1.153990e+05 4.735897e+08 1.000000e+10 1.000000e+10 2.265877e+04 1.000000e+10
 Nh270 HL+ 3.639736e-01 6.671761e+02 1.252130e+01 1.257502e+02 2.782561e+03 1.643571e+01 3.870298e-01 2.946725e+02 1.024560e+02
 Nh271 HL+ 4.559646e-01 9.210034e+02 1.885981e+01 1.706071e+02 4.524154e+03 2.091931e+01 4.818120e-01 3.433959e+02 1.481777e+02
 Nh272 HL+ 5.104109e-01 1.028843e+03 2.166416e+01 2.195370e+02 2.546864e+04 2.199289e+01 5.388243e-01 3.957516e+02 2.784304e+02
 Nh273 HL+ 6.493863e-01 1.639740e+03 3.379995e+01 3.074550e+02 1.000000e+10 2.838102e+01 6.815911e-01 4.799805e+02 5.015509e+02
 Nh274 HL+ 7.434233e-01 1.777279e+03 3.713095e+01 3.314683e+02 4.654879e+04 2.606103e+01 7.860661e-01 5.438795e+02 4.487825e+02
 Nh275 HL+ 8.991697e-01 3.257903e+03 5.229633e+01 5.582581e+02 6.646362e+04 3.688491e+01 9.428746e-01 7.038607e+02 5.606844e+02
 Nh276 HL+ 1.258861e+00 4.188822e+03 7.415260e+01 7.397901e+02 1.131912e+05 3.998999e+01 1.330145e+00 8.003230e+02 8.127265e+02
 Nh277 HL+ 1.714184e+00 8.029326e+03 1.520094e+02 1.154585e+03 2.434894e+05 6.354232e+01 1.791083e+00 1.007960e+03 1.344950e+03
 Nh278 HL+ 2.108165e+00 2.327138e+03 1.340628e+02 1.479202e+03 2.358460e+05 3.787826e+01 2.283676e+00 1.155766e+03 1.610409e+03
 Nh279 HL+ 3.674157e+00 5.920925e+04 4.457214e+02 2.089151e+03 9.392546e+05 2.193607e+02 3.789457e+00 1.414907e+03 3.628290e+03
 Nh280 HL+ 7.012579e+00 3.276864e+05 2.782955e+03 1.295463e+03 2.947585e+06 4.380054e+02 7.231774e+00 1.330891e+03 6.530203e+03
 Nh281 HL+ 9.564484e+00 2.982646e+06 2.196701e+03 4.166463e+03 5.332880e+06 9.689928e+02 9.771131e+00 2.488597e+03 1.225829e+04
 Nh282 HL+ 1.256599e+01 1.398508e+07 3.203438e+03 1.046748e+05 1.218315e+06 1.424213e+03 1.278128e+01 7.096822e+03 5.721447e+03
 Nh283 HL+ 2.497634e+01 7.741751e+07 1.317495e+04 8.829194e+03 2.961393e+07 2.868849e+03 2.544775e+01 5.469097e+03 4.745818e+04
 Nh284 HL+ 4.594627e+01 6.713233e+06 3.346262e+04 5.315087e+03 5.078327e+07 2.928873e+03 4.744540e+01 8.649493e+03 8.028123e+04
 Nh285 HL+ 1.020167e+02 5.154415e+09 1.137646e+05 7.457344e+04 2.152460e+08 9.869406e+03 1.039308e+02 1.855175e+04 3.218048e+05
 Nh286 HL+ 1.608235e+02 1.567621e+11 3.684870e+05 5.393472e+04 1.442531e+09 1.234032e+04 1.659064e+02 1.199912e+04 2.051852e+05
 Nh287 HL+ 1.915806e+04 4.245316e+11 1.000000e+10 1.615107e+06 1.000000e+10 2.223348e+04 1.000000e+10 1.515020e+05 1.000000e+10
 No238 HL+ 8.587579e-01 1.204227e+02 1.918323e+01 2.462123e+02 2.454708e+03 1.114167e+01 9.986527e-01 3.516299e+02 1.777938e+02
 No239 HL+ 8.852416e-01 1.247005e+02 1.720365e+01 3.193171e+02 2.418701e+03 1.144171e+01 1.036358e+00 4.220478e+02 1.902241e+02
 No240 HL+ 1.150449e+00 1.784391e+02 3.172693e+01 5.119579e+02 5.388820e+03 1.484480e+01 1.320467e+00 5.069774e+02 3.012169e+02
 No241 HL+ 1.259636e+00 1.973307e+02 3.510551e+01 3.062065e+02 7.357767e+03 1.547517e+01 1.454112e+00 5.392288e+02 3.641526e+02
 No242 HL+ 1.618179e+00 2.960253e+02 5.841233e+01 1.194225e+03 1.377603e+04 2.039751e+01 1.836769e+00 7.687741e+02 5.524734e+02
 No243 HL+ 1.872832e+00 3.626712e+02 7.263397e+01 6.568209e+02 2.222591e+04 2.229096e+01 2.135356e+00 7.670432e+02 7.207416e+02
 No244 HL+ 2.415676e+00 6.191288e+02 1.256737e+02 3.235301e+03 4.233021e+04 3.091478e+01 2.702670e+00 1.231156e+03 1.118516e+03
 No245 HL+ 2.871944e+00 8.031645e+02 1.785112e+02 2.373055e+03 3.243093e+04 3.390728e+01 3.227555e+00 1.284841e+03 1.258708e+03
 No246 HL+ 3.978454e+00 2.135500e+03 3.751580e+02 1.106124e+04 1.852683e+05 6.102437e+01 4.331187e+00 2.077893e+03 2.684236e+03
 No247 HL+ 4.187765e+00 3.915647e+03 2.383558e+02 7.948572e+03 9.137567e+04 8.737246e+01 4.504891e+00 2.741422e+03 2.425262e+03
 No248 HL+ 7.180348e+00 1.443955e+04 1.910231e+03 6.287522e+04 1.193061e+06 1.643328e+02 7.565298e+00 3.908761e+03 7.353773e+03
 No249 HL+ 8.708416e+00 2.276931e+04 1.312372e+03 6.843925e+04 1.000000e+10 2.252345e+02 9.145153e+00 4.472752e+03 1.000000e+10
 No250 HL+ 1.409977e+01 4.107243e+05 2.983965e+04 1.255696e+06 1.112823e+07 6.472795e+02 1.445424e+01 8.639505e+03 2.393033e+04
 No251 HL+ 1.690456e+01 1.474221e+05 1.039095e+04 1.447011e+07 1.864871e+06 8.555145e+02 1.732137e+01 1.224659e+04 1.442619e+04
 No252 HL+ 3.741265e+01 7.846304e+07 1.572884e+07 4.492379e+08 2.067692e+09 3.386444e+03 3.790196e+01 2.253164e+04 1.881157e+05
 No253 HL+ 4.689029e+01 2.077074e+09 1.564335e+05 2.558045e+07 1.211346e+09 7.520957e+03 4.727451e+01 3.401684e+04 2.205605e+05
 No254 HL+ 2.468124e+02 1.521852e+12 5.266038e+12 8.088665e+12 3.929848e+14 1.505705e+04 2.517381e+02 7.975838e+04 3.061526e+06
 No255 HL+ 2.871272e+02 1.000000e+10 6.069469e+05 2.050014e+13 2.784774e+09 5.077371e+03 3.051000e+02 1.641889e+05 2.114952e+06 
 Og282 HL+ 2.116379e-01 3.559344e+02 6.884010e+00 4.372347e+01 2.560859e+03 7.357142e+00 2.276392e-01 1.999813e+02 5.030794e+01
 Og283 HL+ 2.386714e-01 3.495851e+02 7.801152e+00 4.454202e+01 2.721171e+03 7.244398e+00 2.580630e-01 2.145667e+02 5.471779e+01
 Og284 HL+ 2.815521e-01 1.169219e+03 1.154766e+01 5.494101e+01 4.001525e+03 1.523472e+01 2.974633e-01 2.240162e+02 7.155969e+01
 Og285 HL+ 3.011050e-01 2.484971e+03 1.154873e+01 5.130298e+01 3.438702e+03 1.912221e+01 3.181520e-01 2.234672e+02 6.942368e+01
 Og286 HL+ 3.624789e-01 8.659582e+03 1.837249e+01 7.375458e+01 6.807667e+03 3.861958e+01 3.771330e-01 2.718909e+02 1.066592e+02
 Og287 HL+ 6.481327e-01 3.710316e+04 2.263833e+01 4.861460e+01 1.565870e+04 1.721962e+02 6.844088e-01 2.109803e+02 1.562995e+02
 Og288 HL+ 8.569404e-01 3.231253e+06 5.502385e+01 9.177563e+01 7.049532e+04 1.191929e+04 8.843496e-01 2.904698e+02 2.811733e+02
 Og289 HL+ 1.072734e+00 5.905730e+05 6.942256e+01 1.123561e+02 4.460847e+04 8.933622e+02 1.109140e+00 3.644625e+02 2.936270e+02
 Og290 HL+ 1.446922e+00 4.665642e+08 3.301024e+02 2.712123e+02 3.955328e+05 7.473842e+05 1.468518e+00 5.711669e+02 5.908428e+02
 Og291 HL+ 1.683510e+00 6.008701e+08 3.971135e+02 3.081345e+02 2.708529e+05 5.332690e+04 1.708650e+00 6.929877e+02 6.619073e+02
 Og292 HL+ 2.381326e+00 1.031488e+09 1.588389e+03 7.957091e+02 1.963234e+06 9.838519e+05 2.401822e+00 1.020513e+03 1.396995e+03
 Og293 HL+ 2.758375e+00 1.432007e+09 1.489743e+03 8.208083e+02 7.322524e+05 2.109536e+05 2.784610e+00 1.274818e+03 1.359737e+03
 Og294 HL+ 4.128870e+00 3.843160e+09 6.334638e+03 2.774221e+03 1.219437e+07 1.509296e+06 4.151178e+00 1.961186e+03 3.669144e+03
 Og295 HL+ 4.942778e+00 1.706609e+09 4.322005e+03 1.951247e+03 2.099034e+06 5.858455e+05 4.978911e+00 2.477946e+03 3.138240e+03
 Og296 HL+ 8.256331e+00 1.454199e+10 3.462681e+04 1.806566e+04 1.548468e+08 1.720551e+07 8.282438e+00 4.695949e+03 1.182991e+04
 Og297 HL+ 8.655392e+00 2.212560e+10 4.716942e+03 4.727694e+04 9.290449e+06 1.465285e+07 8.695438e+00 7.631250e+03 5.962580e+03
 Og298 HL+ 2.839831e+01 1.308547e+10 3.034803e+08 7.778268e+08 1.240536e+12 5.896512e+02 2.988689e+01 1.804388e+04 3.962403e+05
 Og299 HL+ 4.469448e+01 3.066009e+07 7.027245e+05 1.152319e+08 1.422083e+09 7.850705e+02 4.749502e+01 2.528180e+04 2.224036e+05
 Og300 HL+ 1.150305e+02 1.464580e+11 2.392780e+12 1.355267e+12 4.277877e+13 2.175820e+03 1.215572e+02 1.418768e+05 8.347627e+06
 Og301 HL+ 1.747551e+02 1.292359e+09 9.450485e+07 2.238319e+12 7.010932e+11 2.087719e+03 1.910743e+02 1.128605e+05 1.158429e+06
 Og302 HL+ 7.875030e+02 1.000000e+10 1.000000e+10 1.000000e+10 1.000000e+10 7.545369e+03 8.792722e+02 5.724512e+12 6.283501e+09
 Rf250 HL+ 2.383992e+00 3.040719e+03 1.802706e+02 3.070660e+03 4.780488e+04 6.664151e+01 2.523031e+00 1.054941e+03 1.064260e+03
 Rf251 HL+ 2.742382e+00 4.213453e+03 1.864399e+02 3.872315e+03 1.000000e+10 8.490133e+01 2.892511e+00 1.179196e+03 2.270611e+03
 Rf252 HL+ 3.935312e+00 1.692095e+04 7.296522e+02 1.051911e+04 1.905488e+05 1.458761e+02 4.085848e+00 1.702271e+03 2.566233e+03
 Rf253 HL+ 4.544877e+00 1.414195e+04 7.835252e+02 1.835621e+04 6.493284e+04 1.624893e+02 4.729578e+00 2.091782e+03 1.840158e+03
 Rf254 HL+ 7.329315e+00 6.442362e+04 4.815101e+03 4.200761e+04 2.322455e+06 2.626424e+02 7.579340e+00 2.821677e+03 1.093046e+04
 Rf255 HL+ 8.405478e+00 8.939223e+04 2.401674e+03 3.392099e+04 7.458341e+05 3.008148e+02 8.712268e+00 3.455860e+03 8.524505e+03
 Rf256 HL+ 1.731510e+01 2.420019e+05 1.189586e+05 2.660695e+05 4.611310e+08 4.097309e+02 1.815575e+01 4.943023e+03 6.722854e+04
 Rf257 HL+ 2.206701e+01 1.000000e+10 1.308825e+04 5.882270e+05 1.032868e+08 1.000000e+10 2.219226e+01 6.021964e+03 8.618287e+04
 Rf258 HL+ 4.769155e+01 2.009023e+07 4.091727e+08 4.566426e+07 9.741542e+10 1.346622e+03 4.964398e+01 1.264708e+04 3.440684e+05
 Rf259 HL+ 4.094012e+01 6.417469e+03 2.333959e+05 1.000000e+10 7.554563e+09 1.600680e+02 5.564980e+01 2.191713e+04 3.012128e+05
 Rf260 HL+ 1.928723e+02 2.282721e+11 1.000000e+10 1.000000e+10 1.000000e+10 8.126128e+03 1.983821e+02 4.861574e+04 2.689154e+06
 Rf261 HL+ 1.667795e+02 1.000000e+10 1.000000e+10 1.000000e+10 1.147025e+10 2.121997e+04 1.698271e+02 1.688638e+04 7.964786e+05 
 Rg266 HL+ 5.389783e-01 1.000000e+10 2.076893e+01 2.003737e+02 5.173212e+03 1.000000e+10 5.573139e-01 3.868538e+02 1.951742e+02
 Rg267 HL+ 6.538489e-01 2.009103e+02 3.571638e+01 4.405994e+02 1.220232e+04 1.570564e+01 7.017058e-01 4.827351e+02 3.089689e+02
 Rg268 HL+ 7.521673e-01 3.544069e+02 4.535035e+01 6.717591e+02 2.649926e+04 2.023337e+01 8.002811e-01 5.748565e+02 4.220891e+02
 Rg269 HL+ 9.869018e-01 6.341154e+02 7.844192e+01 1.022354e+03 5.120365e+04 2.739390e+01 1.043264e+00 7.060634e+02 6.675500e+02
 Rg270 HL+ 1.143482e+00 9.601921e+02 8.410845e+01 1.603511e+03 3.070908e+04 3.323551e+01 1.207612e+00 8.275181e+02 6.421244e+02
 Rg271 HL+ 1.568246e+00 1.823565e+03 1.721747e+02 2.728910e+03 4.684541e+05 4.789725e+01 1.643383e+00 1.084574e+03 1.588670e+03
 Rg272 HL+ 1.656091e+00 2.727887e+03 1.510384e+02 5.050177e+03 1.269924e+05 5.287712e+01 1.735378e+00 1.463227e+03 1.250159e+03
 Rg273 HL+ 2.837105e+00 7.869487e+04 3.262729e+02 5.786144e+03 6.983428e+05 1.621999e+02 2.923539e+00 1.580442e+03 2.695635e+03
 Rg274 HL+ 4.274646e+00 1.211552e+05 4.671792e+02 1.030169e+04 9.610543e+05 1.780106e+02 4.438637e+00 1.898297e+03 3.971455e+03
 Rg275 HL+ 8.601732e+00 1.052499e+04 1.806685e+04 4.250280e+04 1.333761e+08 1.610478e+02 9.134168e+00 3.066612e+03 1.486407e+04
 Rg276 HL+ 2.269798e+01 2.840405e+05 6.851273e+04 1.246249e+05 2.479257e+08 1.948174e+03 2.313643e+01 3.751654e+03 3.458192e+04
 Rg277 HL+ 2.164851e+01 8.887986e+04 1.947287e+04 5.287933e+05 2.446084e+07 5.281324e+02 2.271517e+01 5.398689e+03 3.864329e+04
 Rg278 HL+ 4.410836e+01 4.516831e+05 2.439878e+04 2.237525e+04 3.265633e+06 1.237231e+03 4.646825e+01 4.691822e+03 2.393554e+04
 Rg279 HL+ 1.111273e+02 3.214387e+06 6.898126e+05 1.171454e+08 1.857850e+09 3.728275e+03 1.154628e+02 1.541800e+04 3.290090e+05
 Rg280 HL+ 1.454189e+02 1.000000e+10 4.987400e+05 8.706571e+04 8.906624e+08 1.407123e+04 1.485813e+02 1.773145e+04 1.850560e+05
 Rg281 HL+ 9.417860e+02 1.000000e+10 3.708097e+08 1.000000e+10 9.613814e+10 1.000000e+10 9.513661e+02 9.723259e+04 2.471825e+06
 Rg282 HL+ 1.375337e+04 1.000000e+10 2.358091e+06 2.796752e+09 1.000000e+10 1.566314e+04 1.000000e+10 1.184768e+05 1.000000e+10
 Rg283 HL+ 1.379765e+06 2.066814e+11 1.000000e+10 1.000000e+10 1.000000e+10 2.042076e+06 1.000000e+10 4.263332e+06 1.000000e+10
 Sg252 HL+ 9.635405e-01 5.763356e+02 3.740664e+01 4.984607e+02 7.172803e+03 2.279442e+01 1.043986e+00 4.962183e+02 2.879989e+02
 Sg253 HL+ 1.080788e+00 6.339079e+02 4.456572e+01 6.423656e+02 6.880335e+03 2.440609e+01 1.171188e+00 5.537898e+02 3.425223e+02
 Sg254 HL+ 1.384640e+00 9.845862e+02 8.157030e+01 1.095325e+03 2.066422e+04 3.156443e+01 1.485451e+00 7.227213e+02 5.842037e+02
 Sg255 HL+ 1.556189e+00 9.883078e+02 9.652734e+01 1.504589e+03 1.142281e+04 3.153883e+01 1.679035e+00 8.592615e+02 4.948950e+02
 Sg256 HL+ 2.098309e+00 1.386297e+03 2.095475e+02 2.676629e+03 9.715879e+04 3.620709e+01 2.264909e+00 1.077758e+03 1.584097e+03
 Sg257 HL+ 2.253877e+00 1.436745e+03 1.657998e+02 2.585429e+03 3.752366e+04 3.520805e+01 2.459684e+00 1.285011e+03 1.246699e+03
 Sg258 HL+ 3.514210e+00 2.238303e+03 9.592554e+02 7.645071e+03 1.350335e+06 4.178478e+01 3.872713e+00 1.632561e+03 5.663925e+03
 Sg259 HL+ 4.252689e+00 1.000000e+10 8.894661e+02 1.005453e+04 1.593996e+06 9.204118e+01 4.497078e+00 1.828244e+03 7.007608e+03
 Sg260 HL+ 6.045883e+00 1.065916e+04 4.747594e+03 2.993874e+04 1.444447e+07 9.356358e+01 6.494808e+00 2.904370e+03 1.599836e+04
 Sg261 HL+ 6.375338e+00 1.953861e+03 3.585540e+03 6.308249e+04 1.028705e+07 4.728081e+01 7.429619e+00 4.079114e+03 1.786209e+04
 Sg262 HL+ 1.151597e+01 1.528654e+05 3.267931e+04 2.297643e+05 1.313071e+08 3.179592e+02 1.198048e+01 6.299910e+03 4.651744e+04
 Sg263 HL+ 1.345129e+01 1.162863e+06 1.135625e+04 1.170385e+04 1.005464e+08 6.068260e+02 1.382967e+01 5.309949e+03 4.271556e+04
 Sg264 HL+ 2.867756e+01 5.184481e+07 1.301552e+06 2.639842e+07 2.959062e+09 1.410122e+03 2.931994e+01 2.055050e+04 1.872287e+05
 Sg265 HL+ 2.191512e+01 2.225906e+08 1.417273e+04 1.093353e+09 8.427675e+07 3.518083e+03 2.210114e+01 5.504635e+04 9.019848e+04
 Sg266 HL+ 1.470072e+02 1.003244e+11 3.913475e+10 2.356654e+12 1.000000e+10 8.920241e+03 1.496311e+02 1.499984e+05 1.956278e+06
 Sg267 HL+ 2.272556e+02 1.000000e+10 3.974367e+04 1.000000e+10 1.000000e+10 4.741093e+03 2.402017e+02 1.486954e+12 9.244984e+05
 Ts280 HL+ 2.551469e-01 3.211992e+02 7.597064e+00 6.087983e+01 1.000000e+10 7.900245e+00 2.756013e-01 2.420438e+02 1.110979e+02
 Ts281 HL+ 3.017003e-01 5.216476e+02 1.070820e+01 7.510839e+01 4.527705e+03 1.087284e+01 3.227211e-01 2.694535e+02 8.791121e+01
 Ts282 HL+ 3.118484e-01 3.995420e+01 1.191090e+01 8.047570e+01 5.647434e+03 3.042767e+00 3.645749e-01 2.742846e+02 1.011917e+02
 Ts283 HL+ 3.472902e-01 1.158387e+03 1.387688e+01 7.472528e+01 4.171579e+03 1.624879e+01 3.682125e-01 2.637856e+02 8.524340e+01
 Ts284 HL+ 4.004354e-01 2.353492e+03 1.386756e+01 7.335670e+01 4.987725e+03 2.395831e+01 4.245472e-01 2.696638e+02 9.984381e+01
 Ts285 HL+ 5.037641e-01 3.740925e+03 2.326601e+01 1.127190e+02 8.133991e+03 3.422934e+01 5.280458e-01 3.458784e+02 1.442613e+02
 Ts286 HL+ 5.927026e-01 4.880772e+03 2.636956e+01 1.122080e+02 6.499384e+03 3.911925e+01 6.230222e-01 3.927845e+02 1.469391e+02
 Ts287 HL+ 8.658574e-01 7.684005e+03 4.887720e+01 2.101458e+02 2.552676e+04 5.066746e+01 9.050000e-01 5.247438e+02 3.421559e+02
 Ts288 HL+ 1.805800e+00 1.281705e+06 2.114135e+02 1.724037e+02 1.070446e+05 3.593327e+03 1.855162e+00 4.617117e+02 5.713605e+02
 Ts289 HL+ 2.341111e+00 7.593553e+08 5.790848e+02 5.025785e+02 3.471627e+05 2.894539e+05 2.374058e+00 7.945645e+02 1.056610e+03
 Ts290 HL+ 2.781198e+00 1.181951e+09 6.884877e+02 6.968717e+02 6.256419e+05 8.214016e+04 2.816421e+00 1.128033e+03 1.410427e+03
 Ts291 HL+ 5.719306e+00 4.392932e+04 3.411313e+03 9.640882e+03 1.335298e+07 3.078919e+01 7.070368e+00 2.546482e+03 8.354338e+03
 Ts292 HL+ 7.113035e+00 7.491287e+04 5.978478e+03 2.172749e+05 1.602098e+07 3.488329e+01 8.980164e+00 3.706921e+03 9.229786e+03
 Ts293 HL+ 7.237793e+00 5.499061e+09 4.157150e+03 6.693241e+03 4.225174e+06 4.577603e+05 7.279996e+00 3.750101e+03 7.046208e+03
 Ts294 HL+ 1.138354e+01 1.142922e+08 6.853699e+03 5.691369e+04 1.162109e+07 1.570102e+04 1.144530e+01 8.158892e+03 8.052919e+03
 Ts295 HL+ 2.506377e+01 4.802950e+06 1.653996e+04 4.289823e+04 9.889109e+07 1.436118e+02 3.054952e+01 1.005010e+04 5.620433e+04
 Ts296 HL+ 1.652399e+02 6.290027e+10 1.105567e+08 5.986831e+10 4.615081e+11 4.174316e+03 1.731332e+02 2.988024e+04 3.484337e+05
