 # nucl dec Total(s)  Bm(1+)(s)  Bm(1-)(s)  Bm(0-)(s)  Bm(2-)(s)
 Rf308 HL- 1.617364e-01 1.037400e+00 3.111597e-01 5.623539e-01 4.406668e+00 
 Rf309 HL- 1.323314e-01 8.858096e-01 2.592572e-01 4.348466e-01 3.689468e+00 
 Rf310 HL- 1.203336e-01 7.725691e-01 2.333121e-01 4.137056e-01 3.199300e+00 
 Rf311 HL- 9.970805e-02 6.726055e-01 1.921505e-01 3.381509e-01 2.624599e+00 
 Rf312 HL- 8.880928e-02 5.902174e-01 1.731900e-01 2.974279e-01 2.327587e+00 
 Rf313 HL- 6.448308e-02 5.372158e-01 1.220600e-01 2.040902e-01 1.805032e+00 
 Rf314 HL- 6.347025e-02 4.497763e-01 1.225444e-01 2.093835e-01 1.678269e+00 
 Rf315 HL- 5.135273e-02 3.974219e-01 9.751025e-02 1.670587e-01 1.397254e+00 
 Rf316 HL- 4.689687e-02 3.323021e-01 8.962221e-02 1.571123e-01 1.263818e+00 
 Rf317 HL- 3.898732e-02 2.780413e-01 7.246086e-02 1.368403e-01 1.058834e+00 
 Rf318 HL- 3.621191e-02 2.416890e-01 6.818862e-02 1.282453e-01 9.853030e-01 
 Rf319 HL- 3.125113e-02 2.122991e-01 5.782605e-02 1.131527e-01 8.638213e-01 
 Rf320 HL- 2.868464e-02 1.843447e-01 5.312855e-02 1.070659e-01 7.843582e-01 
 Rf321 HL- 2.503383e-02 1.640284e-01 4.583846e-02 9.422745e-02 7.036882e-01 
 Rf322 HL- 2.318476e-02 1.470203e-01 4.251340e-02 8.905864e-02 6.331291e-01 
 Rf323 HL- 2.014287e-02 1.354180e-01 3.627041e-02 7.711988e-02 5.802808e-01 
 Rf324 HL- 1.888303e-02 1.196209e-01 3.450411e-02 7.308814e-02 5.171419e-01 
 Rf325 HL- 1.551698e-02 1.061565e-01 2.790202e-02 6.028684e-02 3.848499e-01 
 Rf326 HL- 1.498826e-02 8.818434e-02 2.785431e-02 6.163267e-02 3.074342e-01 
 Rf327 HL- 1.355959e-02 7.783166e-02 2.534076e-02 5.731583e-02 2.505630e-01 
 Rf328 HL- 1.244067e-02 6.715116e-02 2.356441e-02 5.425744e-02 2.163460e-01 
 Rf329 HL- 1.140586e-02 6.008746e-02 2.169700e-02 5.080219e-02 1.901754e-01 
 Rf330 HL- 1.066334e-02 5.220973e-02 2.066691e-02 4.929146e-02 1.680202e-01 
 Rf331 HL- 9.785382e-03 4.792731e-02 1.891603e-02 4.584417e-02 1.503745e-01 
 Rf332 HL- 9.202583e-03 4.162129e-02 1.818231e-02 4.464624e-02 1.380800e-01 
 Rf333 HL- 8.505350e-03 3.798619e-02 1.679922e-02 4.196504e-02 1.267143e-01 
 Rf334 HL- 7.954385e-03 3.389293e-02 1.593282e-02 4.019056e-02 1.167250e-01 
 Rf335 HL- 7.208881e-03 3.208378e-02 1.420672e-02 3.609823e-02 1.057312e-01 
